Gépcoop cikkszám;  Cikknév;Iron trade;Csavarda;Koelner;Mekrs;Fabory;Ferdinand;Reyher;Hopefix;Fastbolt;Schafer;King;Wasi
00210100L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X100;10013010010000005000;10013010010000005000;61025;08555.18.02.100.100;;;;;;;;
00210100S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X100;;10010010010000005000;52467;;;;;;;;;
00210120L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X120;;10013010012000005000;59163;08555.18.02.100.120;;;;D7507T10120C1;;;;
00210120S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X120;;10010010012000005000;52468;08556.18.02.100.120;;;;;;;;
00210140L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X140;10013010014000005000;10013010014000005000;59164;08555.18.02.100.140;;;;;;;;
00210140LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 10X140;;;-;;;;;;;;;
00210140S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X140;;10010010014000005000;04423;;;;;;;;;
00210160L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X160;10013010016000005000;10013010016000005000;59165;08555.18.02.100.160;;;;;;;;
00210160S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X160;;10010010016000005000;52469;;;;;;;;;
00210180L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X180;;10013010018000005000;59166;;;;;;;;;
00210180LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 10X180;;;-;;;;;;;;;
00210180S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X180;;10010010018000005000;57261;;;;;;;;;
00210200L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X200;10013010020000005000;10013010020000005000;59167;08555.18.02.100.200;;;;;;;;
00210200LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 10X200;;;-;;;;;;;;;
00210200S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X200;;10010010020000005000;04602;;;;;;;;;
00210220L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X220;;10013010022000005000;59168;08555.18.02.100.220;;;;;;;;
00210220S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X220;;10010010022000005000;57262;;;;;;;;;
00210240L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X240;10013010024000005000;10013010024000005000;59169;08555.18.02.100.240;;;;;;;;
00210240LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 10X240;;;-;;;;;;;;;
00210240S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X240;;10010010024000005000;04603;;;;;;;;;
00210260L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X260;10013010026000005000;10013010026000005000;59170;;;;;;;;;
00210260LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 10X260;;;-;;;;;;;;;
00210260S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X260;;10010010026000005000;52470;;;;;;;;;
00210280L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X280;10013010028000005000;10013010028000005000;59171;08555.18.02.100.280;;;;;;;;
00210280LF;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT FEHÉR 10X280;;;-;;;;;;;;;
00210280S;SF.FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X280;;10010010028000005000;57263;08556.18.02.100.280;;;;;;;;
00210300L;LAPOSFEJŰ FASZERKEZET ÉPÍTŐ CSAVAR TORX-40 HORGANYZOTT SÁRGA 10X300;10013010030000005000;10013010030000005000;59172;;;;;;;;;
